treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.id_in_group,player.random_block,player.random_order,player.control_question1,player.control_question2,player.alternative1,player.policy_choice,player.Price_UR_A,player.Price_UN_A,player.Price_O_A,player.EV_A,player.Revenue_A,player.Price_UR_B,player.Price_UN_B,player.Price_O_B,player.EV_B,player.Revenue_B,player.attributes_binary_1,player.attributes_binary_2,player.attributes_binary_3,player.attributes_binary_4,player.attributes_binary_5,subsession.round_number,session.code
Road Pricing,89,7qmr53qd,169,169,A_Planet3_ES,End,56:27.9,1,89,4,407546213,3,,5,3,2,2,1,3,4,4,1,3,4,1,,,,,,1,uln4i2w2
Social Norm,90,h1333c3r,169,169,A_Planet3_ES,End,59:29.2,1,90,5,503217564,3,,5,1,2,2,3,3,3,4,3,2,2,1,,,,,,1,uln4i2w2
Baseline,91,svgvhfkx,169,169,A_Planet3_ES,End,01:45.1,1,91,7,770425361,3,,5,2,3,4,1,1,3,2,2,4,4,2,,,,,,1,uln4i2w2
Pollution,92,wv0toxws,169,169,A_Planet3_ES,End,30:40.7,1,92,5,527645130,3,,5,2,1,1,3,3,2,2,2,1,1,5,,,,,,1,uln4i2w2
Public Services,93,kude0f05,169,169,A_Planet3_ES,End,36:53.5,1,93,4,432716504,2,1,5,2,4,2,4,3,4,2,1,1,2,2,,,,,,1,uln4i2w2
Road Pricing,94,y78a0e4p,169,169,A_Planet3_ES,End,13:57.2,1,94,6,626714053,3,,3,2,4,4,2,1,2,3,1,3,3,4,,,,,,1,uln4i2w2
Social Norm,95,alsprk3f,169,169,A_Planet3_ES,End,44:47.8,1,95,4,471425630,3,,5,2,4,4,3,1,1,2,1,4,4,5,,,,,,1,uln4i2w2
Baseline,96,enhpmva1,169,169,A_Planet3_ES,End,18:29.5,1,96,5,552674301,3,,5,3,3,4,2,4,2,4,3,3,2,1,,,,,,1,uln4i2w2
Pollution,97,s3iwzftl,169,169,A_Planet3_ES,End,07:21.7,1,97,5,552603714,3,,5,2,4,3,3,2,1,3,4,2,4,2,,,,,,1,uln4i2w2
Public Services,98,lhilbbyr,169,169,A_Planet3_ES,End,28:28.0,1,98,2,224570631,3,,1,3,3,4,3,1,3,4,3,1,3,4,,,,,,1,uln4i2w2
Road Pricing,99,mmwi7ssd,169,169,A_Planet3_ES,End,03:47.7,1,99,0,72601435,3,,1,2,3,1,1,3,4,1,1,3,2,5,,,,,,1,uln4i2w2
Social Norm,100,ckgdbhy3,169,169,A_Planet3_ES,End,01:53.7,1,100,5,526510734,3,,5,1,1,1,3,3,2,2,2,1,1,5,,,,,,1,uln4i2w2
Baseline,101,ygzo60jz,169,169,A_Planet3_ES,End,21:59.8,1,101,1,154163207,3,,5,1,4,2,4,4,4,3,3,1,3,5,,,,,,1,uln4i2w2
Pollution,102,o36q4v3s,169,169,A_Planet3_ES,End,20:32.9,1,102,7,724356170,3,,5,2,3,3,4,1,4,4,1,2,3,3,,,,,,1,uln4i2w2
Public Services,103,2chu8i27,169,169,A_Planet3_ES,End,18:37.3,1,103,4,443726015,3,,5,2,4,2,4,1,1,3,3,3,4,3,,,,,,1,uln4i2w2
Road Pricing,104,yatjkrmr,169,169,A_Planet3_ES,End,57:04.5,1,104,0,5732614,3,,1,3,4,1,1,4,2,2,2,2,1,3,,,,,,1,uln4i2w2
Social Norm,105,oljn48l4,169,169,A_Planet3_ES,End,54:54.0,1,105,0,60154723,3,,5,3,2,2,1,2,3,3,1,2,4,4,,,,,,1,uln4i2w2
Pollution,107,qtpo1paq,169,169,A_Planet3_ES,End,12:52.4,1,107,4,474135062,3,,3,2,4,4,3,1,1,2,1,4,4,5,,,,,,1,uln4i2w2
Public Services,108,nc77kida,169,169,A_Planet3_ES,End,58:30.7,1,108,3,370524361,3,,5,2,3,3,1,1,5,1,1,2,4,1,,,,,,1,uln4i2w2
Road Pricing,109,hgm4z5p8,169,169,A_Planet3_ES,End,09:04.2,1,109,5,562140375,3,,5,1,4,1,2,3,4,3,3,4,4,5,,,,,,1,uln4i2w2
Social Norm,110,e13kuef8,169,169,A_Planet3_ES,End,46:49.4,1,110,6,647126350,3,,1,2,4,2,1,4,1,3,4,2,3,5,,,,,,1,uln4i2w2
Baseline,111,3cz9co3h,169,169,A_Planet3_ES,End,55:55.2,1,111,3,371520643,3,,5,3,1,1,2,4,1,3,3,1,1,5,,,,,,1,uln4i2w2
Pollution,112,5j8u76qo,169,169,A_Planet3_ES,End,32:04.8,1,112,2,214306527,3,,5,1,1,1,3,2,4,3,4,4,4,3,,,,,,1,uln4i2w2
Public Services,113,lp4ad4ql,169,169,A_Planet3_ES,End,34:52.9,1,113,6,626541703,3,,3,3,4,4,2,1,2,3,1,3,3,4,,,,,,1,uln4i2w2
Road Pricing,114,syr4wgae,169,169,A_Planet3_ES,End,03:58.3,1,114,1,163107245,3,,5,1,4,3,2,1,5,3,4,1,2,1,,,,,,1,uln4i2w2
Pollution,117,xbf6cmvi,169,169,A_Planet3_ES,End,10:10.1,1,117,1,163145702,3,,5,3,3,4,1,2,1,4,3,2,1,5,,,,,,1,uln4i2w2
Public Services,118,sntst306,169,169,A_Planet3_ES,End,18:17.1,1,118,7,710437256,3,,5,2,3,4,4,2,2,1,1,3,1,5,,,,,,1,uln4i2w2
Road Pricing,119,gem1bswc,169,169,A_Planet3_ES,End,04:55.5,1,119,5,543260175,3,,5,2,4,1,3,1,3,3,3,2,3,1,,,,,,1,uln4i2w2
Social Norm,120,xhwxoldo,169,169,A_Planet3_ES,End,51:53.9,1,120,3,354763201,3,,5,2,3,2,2,1,1,2,1,4,4,2,,,,,,1,uln4i2w2
Baseline,121,mh0zrq4j,169,169,A_Planet3_ES,End,24:43.7,1,121,0,47026531,3,,4,1,1,1,4,1,5,3,4,3,4,4,,,,,,1,uln4i2w2
Pollution,122,thyenl6n,169,169,A_Planet3_ES,End,03:41.3,1,122,3,357402136,1,3,5,1,3,2,2,1,1,2,1,4,4,2,,,,,,1,uln4i2w2
Public Services,123,7kaff9s6,169,169,A_Planet3_ES,End,35:34.2,1,123,7,760137524,3,,5,2,4,3,1,3,3,3,1,2,2,5,,,,,,1,uln4i2w2
Road Pricing,124,sluauxoo,169,169,A_Planet3_ES,End,04:11.4,1,124,6,621364570,3,,5,3,4,4,2,1,2,3,1,3,3,4,,,,,,1,uln4i2w2
Social Norm,125,xf7pyh82,169,169,A_Planet3_ES,End,18:04.6,1,125,7,774605123,3,,4,3,3,4,1,1,3,2,2,4,4,2,,,,,,1,uln4i2w2
Baseline,126,230y2x7c,169,169,A_Planet3_ES,End,13:21.3,1,126,7,740263175,3,,5,2,2,2,4,4,3,1,1,1,3,2,,,,,,1,uln4i2w2
Pollution,127,ikggdxke,169,169,A_Planet3_ES,End,53:43.3,1,127,0,17542360,3,,5,1,4,2,1,3,2,3,4,3,1,4,,,,,,1,uln4i2w2
Public Services,128,2s5j0zxj,169,169,A_Planet3_ES,End,19:02.4,1,128,0,3517426,3,,5,1,2,2,2,1,3,4,1,1,4,2,,,,,,1,uln4i2w2
Road Pricing,129,xyklbkdg,169,169,A_Planet3_ES,End,52:01.7,1,129,6,625346170,3,,2,3,3,1,3,3,4,4,4,2,1,2,,,,,,1,uln4i2w2
Social Norm,130,4tw3gwgv,169,169,A_Planet3_ES,End,45:53.3,1,130,3,361470352,3,,2,2,3,3,4,3,4,4,1,2,4,5,,,,,,1,uln4i2w2
Baseline,131,uc0t2qo5,169,169,A_Planet3_ES,End,33:39.0,1,131,6,636540712,3,,5,1,4,4,3,3,4,3,3,2,1,3,,,,,,1,uln4i2w2
Pollution,132,fuj3ub9q,169,169,A_Planet3_ES,End,43:59.7,1,132,3,364713025,3,,4,2,3,3,4,3,4,4,1,2,4,5,,,,,,1,uln4i2w2
Public Services,133,s8o9n3p1,169,169,A_Planet3_ES,End,03:22.7,1,133,4,406321475,3,,5,3,4,1,3,4,1,2,2,1,3,4,,,,,,1,uln4i2w2
Road Pricing,134,j4sbb0ov,169,169,A_Planet3_ES,End,11:34.4,1,134,6,656173042,3,,1,2,4,4,3,4,5,1,1,4,1,2,,,,,,1,uln4i2w2
Social Norm,135,hdvmjrl0,169,169,A_Planet3_ES,End,12:47.5,1,135,3,324065713,3,,5,2,2,2,3,3,3,4,1,2,1,4,,,,,,1,uln4i2w2
Baseline,136,ygq2rbch,169,169,A_Planet3_ES,End,46:32.4,1,136,0,76324510,2,1,3,1,3,1,1,3,4,1,1,3,2,5,,,,,,1,uln4i2w2
Pollution,137,iua0kr3o,169,169,A_Planet3_ES,End,26:11.6,1,137,7,715637420,3,,1,3,1,1,3,1,5,3,4,4,2,2,,,,,,1,uln4i2w2
Public Services,138,g0rid3nm,169,169,A_Planet3_ES,End,26:13.3,1,138,6,603547612,3,,5,1,3,1,3,1,5,2,2,2,2,2,,,,,,1,uln4i2w2
Road Pricing,139,ha59x5xj,169,169,A_Planet3_ES,End,26:14.0,1,139,4,417526403,3,,5,2,3,4,4,4,1,2,1,3,2,4,,,,,,1,uln4i2w2
Social Norm,140,nxuvgudh,169,169,A_Planet3_ES,End,40:52.7,1,140,5,504631572,3,,1,1,2,2,3,3,3,4,3,2,2,1,,,,,,1,uln4i2w2
Baseline,141,wat5ykjw,169,169,A_Planet3_ES,End,22:44.1,1,141,7,731726540,3,,4,2,4,3,3,2,4,1,1,1,4,1,,,,,,1,uln4i2w2
Pollution,142,cg7odc0d,169,169,A_Planet3_ES,End,54:30.1,1,142,5,564027351,3,,2,2,3,3,4,4,5,4,1,2,3,4,,,,,,1,uln4i2w2
Public Services,143,jf155q1k,169,169,A_Planet3_ES,End,04:56.7,1,143,0,46520731,3,,5,2,1,1,4,1,5,3,4,3,4,4,,,,,,1,uln4i2w2
Road Pricing,144,ualit105,169,169,A_Planet3_ES,End,31:30.0,1,144,5,556147203,3,,1,2,4,3,3,2,1,3,4,2,4,2,,,,,,1,uln4i2w2
Baseline,146,dli4uco2,169,169,A_Planet3_ES,End,58:57.1,1,146,0,76213504,3,,5,3,3,1,1,3,4,1,1,3,2,5,,,,,,1,uln4i2w2
Pollution,147,k32enl63,169,169,A_Planet3_ES,End,16:19.5,1,147,2,237021654,3,,5,3,1,1,1,2,3,3,2,4,1,1,,,,,,1,uln4i2w2
Public Services,148,al9l66sd,169,169,A_Planet3_ES,End,13:01.0,1,148,0,57126340,3,,5,3,3,3,2,4,1,4,4,4,2,5,,,,,,1,uln4i2w2
Road Pricing,149,xn9ipvip,169,169,A_Planet3_ES,End,54:00.6,1,149,1,132741560,3,,5,3,1,1,1,2,4,4,1,4,3,2,,,,,,1,uln4i2w2
Social Norm,150,p5anjbks,169,169,A_Planet3_ES,End,45:26.7,1,150,5,554163207,3,,5,3,4,3,3,2,1,3,4,2,4,2,,,,,,1,uln4i2w2
Baseline,151,pyvwc9dp,169,169,A_Planet3_ES,End,57:13.0,1,151,3,320547613,3,,5,2,2,2,3,3,3,4,1,2,1,4,,,,,,1,uln4i2w2
Pollution,152,ednmwqsq,169,169,A_Planet3_ES,End,07:55.2,1,152,3,351763420,3,,5,3,2,1,4,4,2,3,2,2,1,1,,,,,,1,uln4i2w2
Public Services,153,kxuu2bs4,169,169,A_Planet3_ES,End,56:40.5,1,153,5,537206514,3,,4,3,3,2,1,4,2,2,1,4,3,1,,,,,,1,uln4i2w2
Road Pricing,154,h8f8w5um,169,169,A_Planet3_ES,End,56:14.4,1,154,6,641765320,3,,5,2,3,4,2,3,5,4,2,1,4,1,,,,,,1,uln4i2w2
Social Norm,155,yucwbaou,169,169,A_Planet3_ES,End,30:09.2,1,155,7,774052316,3,,2,2,3,4,1,1,3,2,2,4,4,2,,,,,,1,uln4i2w2
Baseline,156,n80pv3ck,169,169,A_Planet3_ES,End,01:31.0,1,156,3,305473162,3,,5,1,4,3,2,4,5,3,4,3,2,1,,,,,,1,uln4i2w2
