participant.code,control_question1,control_question2,attributes_binary_1,attributes_binary_2,attributes_binary_3,attributes_binary_4,attributes_binary_5,alternative1,1_policy_choice,2_policy_choice,3_policy_choice,4_policy_choice,5_policy_choice,6_policy_choice,7_policy_choice,8_policy_choice,1_Price_UR_A,2_Price_UR_A,3_Price_UR_A,4_Price_UR_A,5_Price_UR_A,6_Price_UR_A,7_Price_UR_A,8_Price_UR_A,1_Price_UN_A,2_Price_UN_A,3_Price_UN_A,4_Price_UN_A,5_Price_UN_A,6_Price_UN_A,7_Price_UN_A,8_Price_UN_A,1_Price_O_A,2_Price_O_A,3_Price_O_A,4_Price_O_A,5_Price_O_A,6_Price_O_A,7_Price_O_A,8_Price_O_A,1_EV_A,2_EV_A,3_EV_A,4_EV_A,5_EV_A,6_EV_A,7_EV_A,8_EV_A,1_Revenue_A,2_Revenue_A,3_Revenue_A,4_Revenue_A,5_Revenue_A,6_Revenue_A,7_Revenue_A,8_Revenue_A,1_Price_UR_B,2_Price_UR_B,3_Price_UR_B,4_Price_UR_B,5_Price_UR_B,6_Price_UR_B,7_Price_UR_B,8_Price_UR_B,1_Price_UN_B,2_Price_UN_B,3_Price_UN_B,4_Price_UN_B,5_Price_UN_B,6_Price_UN_B,7_Price_UN_B,8_Price_UN_B,1_Price_O_B,2_Price_O_B,3_Price_O_B,4_Price_O_B,5_Price_O_B,6_Price_O_B,7_Price_O_B,8_Price_O_B,1_EV_B,2_EV_B,3_EV_B,4_EV_B,5_EV_B,6_EV_B,7_EV_B,8_EV_B,1_Revenue_B,2_Revenue_B,3_Revenue_B,4_Revenue_B,5_Revenue_B,6_Revenue_B,7_Revenue_B,8_Revenue_B
0msu1j7j,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,4.0,2.0,4.0,1.0,5.0,3.0,2.0,5.0,3.0,4.0,4.0,1.0
0ohzhbcm,3.0,,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,2.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,5.0,3.0,5.0,3.0,1.0,1.0,5.0,2.0
0uzpul3x,3.0,,1.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,5.0
0xs8g5ll,3.0,,1.0,1.0,1.0,0.0,0.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0
1bkml2p1,2.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,5.0,2.0,4.0,5.0
1csaja5j,3.0,,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,4.0,5.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0
1d0poo9h,3.0,,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0
1d2tpjt4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,3.0,4.0,5.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0
1dtj1oad,3.0,,0.0,0.0,1.0,1.0,0.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,1.0,1.0,3.0
1e36dal6,3.0,,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0,5.0,2.0,1.0,3.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0
1e3j5imf,3.0,,1.0,1.0,1.0,0.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,4.0,1.0,5.0,4.0,4.0,3.0,4.0
1gvw8q3t,3.0,,0.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0
1ikxvt4t,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,5.0,1.0,4.0,1.0,1.0,2.0,3.0
1iout7iu,3.0,,1.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,1.0
1nh05e9w,3.0,,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0
1p5o9whu,3.0,,0.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,5.0,1.0,3.0,2.0,2.0,5.0
1qq9pbma,3.0,,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,4.0,3.0,1.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,5.0,3.0
1yk1x5x8,3.0,,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0,1.0,5.0,3.0,1.0,3.0,1.0
22q5t8ym,3.0,,1.0,1.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,5.0,2.0,5.0,4.0,3.0,1.0
230y2x7c,3.0,,0.0,1.0,1.0,1.0,0.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,4.0,3.0,5.0,1.0,5.0,2.0,1.0
24zavgfb,3.0,,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,5.0,3.0,2.0,1.0,4.0,4.0,4.0
